451	7	55
351	2	-6
51	7	32
301	3	25
452	2	-60
251	6	90
101	5	-96
401	3	-11
52	5	-3
1	6	83
2	6	-54
302	4	-33
402	2	-24
201	3	-57
53	8	-30
102	6	-65
453	2	-27
252	8	-9
403	4	7
103	3	69
202	8	-86
54	2	-34
55	1	-23
303	2	-14
203	3	-96
3	1	-30
151	1	-66
454	2	67
104	8	-69
253	1	44
352	7	66
254	7	-4
255	8	54
455	7	-74
256	2	8
404	7	-49
105	7	-89
204	8	-32
405	7	-27
304	5	82
106	8	-88
406	5	61
205	6	60
4	6	53
257	1	38
152	3	62
153	7	68
353	2	44
154	1	75
107	7	65
305	6	-60
407	2	12
306	1	22
354	2	-24
5	6	-85
456	4	91
6	6	6
108	2	32
155	6	-90
206	2	0
258	8	-34
259	2	62
408	2	69
409	1	38
156	1	-23
307	8	58
7	6	-35
355	1	-28
410	8	68
260	1	55
157	3	18
56	4	75
57	7	-92
308	6	6
457	6	3
109	7	51
110	7	-33
58	4	40
8	6	81
458	8	12
111	2	-42
207	8	62
59	4	62
208	8	65
60	4	40
112	2	18
61	6	92
113	4	-36
356	2	-58
158	2	-100
309	1	45
261	5	-17
62	3	78
9	6	100
209	8	-2
310	1	-79
357	2	17
159	6	76
210	1	65
160	1	-94
262	1	22
263	1	86
358	5	-82
411	8	-90
264	3	-82
10	6	100
161	1	46
311	3	-63
459	4	-68
265	4	90
312	4	-87
359	6	63
460	7	82
162	8	-47
63	1	27
360	8	-98
266	3	-48
211	8	57
267	5	-35
313	3	-11
461	4	75
163	4	63
361	8	-5
268	2	-66
11	6	-35
269	3	32
462	1	-76
64	3	-58
362	4	97
314	1	-49
412	6	39
114	3	6
413	3	7
65	6	78
463	6	-31
164	1	-85
12	6	-45
13	6	19
414	6	-90
165	8	46
115	8	52
415	1	41
315	7	0
212	5	81
416	5	94
270	5	98
116	4	37
14	8	57
271	3	-45
417	1	-44
166	4	4
213	3	61
464	7	53
167	1	16
117	3	-98
168	7	30
316	2	-31
169	7	0
363	8	-60
364	6	30
418	1	41
465	7	-53
272	1	90
466	2	-75
15	1	-26
467	6	-24
170	6	-29
273	5	-97
118	1	-15
171	4	14
172	8	40
317	8	-84
318	6	82
214	6	93
468	5	-36
16	6	-52
17	7	-38
419	1	-42
319	3	-98
173	7	2
215	4	51
274	5	10
469	2	-25
119	5	-66
470	1	97
174	8	-59
420	2	-57
365	2	28
120	1	84
471	5	-54
66	3	-84
366	3	-73
175	8	-35
67	4	40
121	2	71
472	8	-11
320	3	-23
473	7	-43
122	5	56
367	8	-30
321	1	-59
421	4	79
123	8	-92
322	8	-22
474	2	3
124	7	6
216	2	-29
475	7	28
18	6	-30
275	6	27
323	2	-39
368	7	84
369	6	-40
125	7	74
126	4	83
324	1	98
176	4	-49
19	5	88
422	6	-29
68	7	-25
177	1	44
370	6	-52
178	1	-37
69	6	9
476	5	-98
477	7	56
70	3	-63
20	6	-63
217	8	59
218	6	94
478	1	-51
179	3	22
180	5	-31
423	4	63
219	1	65
371	5	-54
276	3	-72
71	1	89
325	7	12
72	8	-17
127	3	20
181	8	-91
372	1	-100
326	3	88
128	7	92
220	6	15
221	8	-40
424	2	42
222	6	-60
129	6	-49
277	1	-40
223	8	63
373	4	71
21	6	74
278	4	-39
22	6	-74
374	4	-36
23	6	41
224	8	-83
24	6	-82
425	3	75
327	2	5
375	5	-46
426	2	-84
73	8	71
25	6	-28
74	2	-47
279	5	73
280	6	-14
427	2	82
182	4	-52
75	3	30
225	4	75
130	5	-27
479	4	-5
376	1	-60
480	1	-31
481	7	-24
226	7	60
131	5	59
281	2	-2
482	5	50
282	8	-96
428	8	-82
429	6	-63
283	8	1
227	6	-16
183	8	21
377	7	-93
184	2	41
228	4	-41
328	3	76
132	8	76
26	6	45
76	8	71
77	5	-68
229	3	99
284	7	-28
230	7	-24
78	3	51
483	6	98
430	4	9
285	1	20
133	6	61
185	5	-46
378	4	27
379	7	10
431	3	30
286	2	44
27	6	-69
484	8	85
186	1	19
231	1	66
287	6	-76
232	3	-29
329	1	11
432	7	-33
380	2	-85
79	6	52
80	6	-57
134	5	60
28	6	49
29	6	-11
330	6	52
30	6	48
81	2	-25
187	5	48
433	8	-44
233	4	-3
82	6	-52
381	4	-20
31	6	-18
382	8	-18
188	1	96
383	8	-51
434	3	-95
435	2	-63
32	6	73
83	7	23
84	6	-55
331	1	99
33	6	40
234	5	2
85	4	19
34	6	-48
288	2	-3
135	1	-23
436	2	18
332	2	47
189	6	-36
333	3	-48
86	4	90
87	7	72
136	6	52
334	3	23
384	8	-14
88	1	47
335	3	-88
385	4	6
35	6	27
36	6	-12
89	3	-31
37	6	89
38	6	-23
39	6	94
437	1	-67
386	6	-22
235	5	6
190	6	-36
236	8	-88
336	8	-10
237	2	98
238	3	-8
485	6	71
239	5	91
289	3	-46
438	6	-27
137	4	-68
387	8	46
486	1	-4
439	6	-45
138	8	19
90	4	57
290	6	59
337	4	77
338	8	16
440	3	39
139	6	-31
240	1	-52
40	6	21
388	2	-65
41	6	28
140	3	-17
42	6	-69
389	5	-90
91	4	-75
339	8	12
441	3	-36
390	7	-71
141	3	-75
241	2	13
92	7	-56
43	6	-19
44	6	57
191	1	77
340	2	40
391	7	-81
93	6	-34
242	4	18
487	6	10
142	8	-73
488	7	25
94	8	46
45	6	-58
442	8	-63
341	2	64
95	8	80
96	5	63
489	5	-49
192	4	30
46	4	-31
47	6	60
490	4	-45
392	1	-89
393	7	-4
143	2	99
394	1	63
342	1	40
291	1	24
443	7	-80
292	4	-32
343	6	2
395	4	-31
344	1	-12
444	2	63
491	5	-14
396	7	19
397	7	-14
293	1	-86
193	3	55
492	4	68
243	8	-31
144	6	66
294	1	48
295	6	94
194	7	61
244	8	-50
493	2	-59
48	6	-53
445	5	-52
494	1	-98
97	1	-92
398	2	-12
495	5	-30
98	1	75
496	2	38
49	6	-25
195	1	-57
497	6	79
498	5	53
145	3	82
245	8	-59
196	1	60
